TEK,PCAL.5(J),PCAL.5(J),PCAL.1(A),PCAL.2(K),PCAL.2(K),PCAL.1(C),PCAL.1(B),PCAL.1(G),PCAL.1(G),PCAL.2(N),PCAL.5(I),PCAL.5(G),PCAL.2(N),PCAL.5(H),PCAL.1(C),PCAL.1(B),PCAL.4(E),PCAL.4(E),PCAL.1(G),PCAL.5(I)
value,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
answer,C,A,B,C,B,C,D,B,10,10,D,A,B,A,D,A,B,B,10,10
type,MC,MC,MC,MC,MC,MC,MC,MC,FR,FR,MC,MC,MC,MC,MC,MC,MC,MC,FR,FR
12501,,,,,,,,,,,+D,+A,+B,D,+D,+A,A,+B,2.5,10
12502,+C,+A,A,A,+B,+C,+D,+B,8,10,B,+A,+B,D,+D,+A,A,+B,7.5,7.5
12503,+C,D,D,+C,+B,+C,B,A,2,10,,,,,,,,,,
12504,+C,C,D,A,+B,+C,+D,A,0,0,+D,+A,+B,D,+D,+A,+B,+B,10,7.5
12505,,,,,,,,,,,,,,,,,,,,
12506,+C,+A,+B,+C,+B,+C,+D,+B,4,9,A,+A,+B,C,C,+A,D,D,10,5
12507,+C,+A,C,+C,+B,D,C,A,1,3,+D,+A,+B,C,+D,+A,+B,+B,0,2.5
12508,,,,,,,,,,,A,C,+B,+A,+D,+A,D,+B,2.5,2.5
12509,D,B,+B,A,+B,+C,+D,A,0,2,,,,,,,,,,
12510,+C,+A,A,+C,+B,A,+D,A,0,10,B,+A,+B,D,+D,+A,A,+B,5,7.5
12511,+C,+A,A,+C,A,+C,B,A,8,9,+D,+A,+B,+A,+D,+A,+B,+B,2.5,2.5
12512,+C,+A,D,A,A,+C,+D,A,0,10,A,+A,+B,C,+D,+A,+B,+B,10,10
12513,,,,,,,,,,,B,C,A,D,+D,D,+B,D,0,2.5
12514,+C,B,C,A,+B,+C,B,A,0,0,B,C,A,D,C,B,A,C,0,0
12515,,,,,,,,,,,B,C,,B,,D,,+B,0,0
12516,,,,,,,,,,,A,C,D,B,A,+A,C,D,0,2.5
12517,+C,D,D,+C,+B,D,+D,A,10,9,B,C,A,+A,C,C,C,A,0,0
12518,,,,,,,,,,,B,+A,+B,D,+D,+A,A,+B,5,7.5
12519,,,,,,,,,,,+D,+A,+B,D,+D,+A,+B,+B,10,7.5
12520,,,,,,,,,,,B,+A,+B,D,+D,+A,A,+B,5,7.5
12521,+C,D,A,+C,A,D,C,A,2,7,B,+A,+B,D,+D,+A,A,+B,5,5
12522,,,,,,,,,,,+D,+A,+B,C,+D,+A,+B,+B,7.5,5
12523,,,,,,,,,,,+D,+A,+B,C,+D,+A,+B,+B,10,10
12524,,,,,,,,,,,C,+A,+B,C,+D,+A,+B,+B,10,5
12525,+C,+A,A,+C,D,A,C,A,0,2,+D,+A,+B,C,+D,+A,+B,+B,10,10
12526,+C,D,+B,A,D,+C,+D,A,1,1,,,,,,,,,,
12527,,,,,,,,,,,,,,,,,,,,
22611,,,,,,,,,,,+D,+A,+B,+A,C,+A,+B,+B,7.5,7.5
22623,,,,,,,,,,,+D,+A,+B,C,+D,+A,+B,+B,0,2.5
