TEK,PCAL.5(I),PCAL.5(G),PCAL.2(N),PCAL.5(H),PCAL.1(C),PCAL.1(B),PCAL.4(E),PCAL.4(E),PCAL.1(G),PCAL.5(I)
value,10,10,10,10,10,10,10,10,10,10
answer,D,A,B,A,D,A,B,B,10,10
type,MC,MC,MC,MC,MC,MC,MC,MC,FR,FR
12501,+D,+A,+B,D,+D,+A,A,+B,2.5,10
12502,B,+A,+B,D,+D,+A,A,+B,7.5,7.5
12503,,,,,,,,,,
12504,+D,+A,+B,D,+D,+A,+B,+B,10,7.5
12505,,,,,,,,,,
12506,A,+A,+B,C,C,+A,D,D,10,5
12507,+D,+A,+B,C,+D,+A,+B,+B,0,2.5
12508,A,C,+B,+A,+D,+A,D,+B,2.5,2.5
12509,,,,,,,,,,
12510,B,+A,+B,D,+D,+A,A,+B,5,7.5
12511,+D,+A,+B,+A,+D,+A,+B,+B,2.5,2.5
12512,A,+A,+B,C,+D,+A,+B,+B,10,10
22611,+D,+A,+B,+A,C,+A,+B,+B,7.5,7.5
22623,+D,+A,+B,C,+D,+A,+B,+B,0,2.5
12513,B,C,A,D,+D,D,+B,D,0,2.5
12514,B,C,A,D,C,B,A,C,0,0
12515,B,C,,B,,D,,+B,0,0
12516,A,C,D,B,A,+A,C,D,0,2.5
12517,B,C,A,+A,C,C,C,A,0,0
12518,B,+A,+B,D,+D,+A,A,+B,5,7.5
12519,+D,+A,+B,D,+D,+A,+B,+B,10,7.5
12520,B,+A,+B,D,+D,+A,A,+B,5,7.5
12521,B,+A,+B,D,+D,+A,A,+B,5,5
12522,+D,+A,+B,C,+D,+A,+B,+B,7.5,5
12523,+D,+A,+B,C,+D,+A,+B,+B,10,10
12524,C,+A,+B,C,+D,+A,+B,+B,10,5
12525,+D,+A,+B,C,+D,+A,+B,+B,10,10
12526,,,,,,,,,,
12527,,,,,,,,,,
