TEK,PCAL.4(F),PCAL.4(F),PCAL.4(F),PCAL.2(P),PCAL.4(D),PCAL.4(D),PCAL.1(A),PCAL.4(C),PCAL.4(E),PCAL.1(G)
value,10,10,10,10,10,10,10,10,10,10
answer,D,B,B,C,B,A,D,B,C,10
type,MC,MC,MC,MC,MC,MC,MC,MC,MC,FR
12501,+D,D,+B,+C,A,D,A,D,A,5
12502,+D,C,+B,+C,A,+A,A,+B,+C,5
12503,,,,,,,,,,
12504,+D,C,+B,+C,+B,+A,B,+B,+C,2.5
12505,,,,,,,,,,
12506,+D,+B,+B,+C,A,+A,+D,+B,+C,7.5
12507,+D,+B,+B,+C,+B,+A,+D,+B,B,7.5
12508,+D,C,+B,+C,+B,+A,+D,+B,+C,7.5
12509,,,,,,,,,,
12510,+D,C,+B,+C,+B,+A,C,+B,+C,7.5
12511,+D,C,+B,+C,+B,+A,B,+B,+C,5
12512,+D,C,C,+C,A,+A,+D,+B,A,2.5
22611,+D,C,+B,+C,+B,+A,+D,+B,D,7.5
22623,+D,+B,A,+C,C,D,+D,+B,+C,2.5
12513,A,+B,C,+C,+B,+A,+D,+B,+C,7.5
12514,C,+B,+B,+C,A,+A,+D,+B,+C,0
12515,+D,+B,C,+C,+B,C,A,+B,B,5
12516,+D,C,+B,+C,A,+A,+D,+B,+C,5
12517,C,+B,+B,+C,A,+A,+D,+B,+C,0
12518,+D,+B,D,+C,+B,+A,+D,+B,+C,7.5
12519,+D,+B,+B,+C,+B,+A,+D,+B,+C,10
12520,+D,C,+B,+C,+B,+A,,+B,D,2.5
12521,+D,+B,+B,+C,A,+A,+D,+B,+C,10
12522,+D,C,+B,+C,A,+A,+D,+B,+C,5
12523,+D,C,+B,+C,+B,+A,A,+B,+C,7.5
12524,C,+B,+B,+C,A,+A,+D,+B,+C,7.5
12525,+D,+B,+B,+C,A,+A,+D,+B,+C,7.5
12526,A,D,+B,+C,C,C,B,D,A,0
12527,+D,D,A,+C,A,D,A,D,A,0
