TEK,PCAL.4(F),PCAL.2(P),PCAL.4(D),PCAL.4(A),PCAL.4(C),PCAL.1(E),PCAL.2(F),PCAL.1(B),PCAL.2(G),PCAL.1(A),PCAL.1(G)
value,11,11,11,11,11,11,11,11,11,11,11
answer,A,B,C,B,B,B,B,A,4,4,4
type,MC,MC,MC,MC,MC,MC,MC,MC,FR,FR,FR
12501,+A,+B,+C,+B,D,D,+B,B,1,4,1
12502,+A,+B,+C,+B,D,D,+B,+A,1,0,1
12503,+A,C,B,+B,D,A,+B,+A,0,3,0
12504,+A,+B,+C,+B,D,D,+B,+A,0,0,0
12506,+A,C,+C,+B,+B,A,C,+A,1,0,4
12507,+A,+B,,+B,,,+B,+A,0,0,0
12508,+A,+B,+C,+B,+B,D,+B,B,0,0,4
12509,+A,+B,+C,+B,A,D,+B,+A,0,0,0
12510,,,,,,,,,,,
12511,+A,+B,+C,+B,+B,+B,+B,+A,0,4,3
12512,+A,C,+C,+B,C,C,+B,B,1,3,4
22611,+A,+B,+C,+B,D,D,+B,+A,0,1,0
22623,+A,+B,+C,+B,C,D,+B,+A,2,0,0
12513,+A,+B,+C,+B,+B,+B,+B,+A,1,0,0
12514,+A,+B,+C,+B,D,D,+B,+A,0,0,4
12515,+A,C,+C,+B,A,D,+B,+A,0,4,2
12516,D,+B,+C,+B,+B,+B,+B,+A,0,0,0
12517,C,+B,B,C,C,A,+B,D,0,0,0
32101,+A,+B,+C,+B,D,+B,+B,+A,0,0,0
12518,+A,+B,+C,+B,D,D,+B,+A,1,0,3
12519,+A,+B,+C,+B,D,D,+B,+A,0,0,3
12520,+A,+B,+C,+B,D,D,+B,+A,0,0,1
12521,+A,+B,+C,+B,D,D,+B,+A,0,4,2
12522,+A,+B,+C,+B,+B,+B,+B,+A,3,4,3
12523,+A,+B,+C,+B,A,D,+B,+A,1,4,4
12524,+A,+B,+C,+B,+B,+B,+B,+A,1,4,3
12525,D,+B,+C,+B,+B,+B,+B,+A,1,4,3
12526,+A,A,B,+B,+B,D,+B,B,0,0,0
12527,+A,+B,B,A,C,C,+B,+A,0,0,0
