TEK,PCAL.5(J),PCAL.5(J),PCAL.1(A),PCAL.2(K),PCAL.2(K),PCAL.1(C),PCAL.1(B),PCAL.1(G),PCAL.1(G),PCAL.2(N),PCAL.5(I),PCAL.5(G),PCAL.2(N),PCAL.5(H),PCAL.1(C),PCAL.1(B),PCAL.4(E),PCAL.4(E),PCAL.1(G),PCAL.5(I),PCAL.4(F),PCAL.4(F),PCAL.4(F),PCAL.2(P),PCAL.4(D),PCAL.4(D),PCAL.1(A),PCAL.4(C),PCAL.4(E),PCAL.1(G),PCAL.4(F),PCAL.2(P),PCAL.4(D),PCAL.4(A),PCAL.4(C),PCAL.1(E),PCAL.2(F),PCAL.1(B),PCAL.2(G),PCAL.1(A),PCAL.1(G),PCAL.3(A),PCAL.3(A),PCAL.3(A),PCAL.3(A),PCAL.3(H),PCAL.3(F),PCAL.3(F),PCAL.3(F),PCAL.4(I),PCAL.2(G),PCAL.2(N),PCAL.2(N),PCAL.4(B),PCAL.2(P),PCAL.5(M),PCAL.4(E),PCAL.4(E),PCAL.4(G),PCAL.4(H),PCAL.5(N),PCAL.5(N),PCAL.5(N),PCAL.5(D),PCAL.5(C),PCAL.5(C),PCAL.5(C),PCAL.5(C),PCAL.5(B),PCAL.5(B),PCAL.1(G)
value,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
answer,C,A,B,C,B,C,D,B,10,10,D,A,B,A,D,A,B,B,10,10,D,B,B,C,B,A,D,B,C,10,A,B,C,B,B,B,B,A,4,4,4,C,D,B,A,D,C,B,D,B,A,D,A,C,B,B,A,B,C,C,C,D,C,C,B,C,D,A,C,4,4
type,MC,MC,MC,MC,MC,MC,MC,MC,FR,FR,MC,MC,MC,MC,MC,MC,MC,MC,FR,FR,MC,MC,MC,MC,MC,MC,MC,MC,MC,FR,MC,MC,MC,MC,MC,MC,MC,MC,FR,FR,FR,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,FR,FR
12501,,,,,,,,,,,+D,+A,+B,D,+D,+A,A,+B,2.5,10,+D,D,+B,+C,A,D,A,D,A,5,+A,+B,+C,+B,D,D,+B,B,1,4,1,+C,+D,+B,+A,A,+C,+B,+D,+B,D,+D,+A,B,A,D,D,+B,A,D,D,B,A,A,C,B,+D,+A,D,0,0
12502,+C,+A,A,A,+B,+C,+D,+B,8,10,B,+A,+B,D,+D,+A,A,+B,7.5,7.5,+D,C,+B,+C,A,+A,A,+B,+C,5,+A,+B,+C,+B,D,D,+B,+A,1,0,1,+C,+D,+B,+A,A,+C,+B,+D,+B,+A,C,+A,+C,+B,D,+A,+B,A,+C,D,A,,+C,+B,+C,C,,,0,0
12503,+C,D,D,+C,+B,+C,B,A,2,10,,,,,,,,,,,,,,,,,,,,,+A,C,B,+B,D,A,+B,+A,0,3,0,+C,B,D,+A,C,A,+B,+D,+B,C,+D,+A,+C,+B,+B,C,+B,D,+C,A,+D,A,B,A,+C,C,D,B,0,0
12504,+C,C,D,A,+B,+C,+D,A,0,0,+D,+A,+B,D,+D,+A,+B,+B,10,7.5,+D,C,+B,+C,+B,+A,B,+B,+C,2.5,+A,+B,+C,+B,D,D,+B,+A,0,0,0,+C,+D,+B,+A,C,A,D,C,A,C,B,D,+C,A,+B,D,+B,A,+C,B,+D,A,A,C,B,+D,+A,+C,0,0
12506,+C,+A,+B,+C,+B,+C,+D,+B,4,9,A,+A,+B,C,C,+A,D,D,10,5,+D,+B,+B,+C,A,+A,+D,+B,+C,7.5,+A,C,+C,+B,+B,A,C,+A,1,0,4,+C,+D,+B,+A,+D,A,+B,+D,C,+A,C,+A,A,+B,D,C,+B,A,D,+C,+D,B,+C,A,+C,+D,+A,+C,0,4
12507,+C,+A,C,+C,+B,D,C,A,1,3,+D,+A,+B,C,+D,+A,+B,+B,0,2.5,+D,+B,+B,+C,+B,+A,+D,+B,B,7.5,+A,+B,,+B,,,+B,+A,0,0,0,+C,+D,+B,+A,C,+C,+B,+D,A,C,+D,+A,+C,A,C,+A,+B,+C,+C,+C,B,+C,+C,C,+C,+D,+A,D,4,0
12508,,,,,,,,,,,A,C,+B,+A,+D,+A,D,+B,2.5,2.5,+D,C,+B,+C,+B,+A,+D,+B,+C,7.5,+A,+B,+C,+B,+B,D,+B,B,0,0,4,+C,+D,+B,+A,+D,+C,+B,+D,A,C,C,+A,+C,C,+B,C,+B,A,B,D,B,A,B,A,+C,+D,+A,B,3,4
